fortune_year,fortune_rank,company_name,company_domain,program_name,program_type,primary_population,eligibility_summary,min_tenure_days,min_hours_per_week,employment_type_included,geography_scope,degree_levels_covered,approved_schools_required,job_related_required,manager_approval_required,grade_requirement,service_commitment_or_repayment,payment_method,covers_tuition,covers_books,covers_fees,covers_exam_fees,annual_cap_usd,lifetime_cap_usd,percent_covered,tax_treatment_notes,application_process_summary,vendor_partner,last_verified_date,data_status,confidence,source_url_1,source_url_2,evidence_notes,research_notes
2025,51,Energy Transfer,energytransfer.com,Educational Assistance Plan,Reimbursement,AllEmployees,"Reimburses many tuition expenses for management-approved classes that better qualify employees for duties.",0,40,FT,US Only,Associate; Bachelor; Master,No,Yes,Yes,Unknown,No,ReimbursementAfterPayment,Yes,No,Yes,No,5250,,,,"Must be part of an individual development plan and approved by management.",Unknown,2026-01-09,VerifiedPrimarySource,Medium,https://www.energytransfer.com/wp-content/uploads/2023/09/CRR-2022-Governance-Snapshot-FN.pdf,,Corporate governance report confirms existence of plan and focus on professional dev.,Cap assumed at $5250 IRS standard unless internal policy specifies higher."
2025,53,Albertsons,albertsonscompanies.com,Tuition Assistance,Reimbursement,AllEmployees,"Varies by subsidiary/region. Generally available for job-related degrees.",0,0,FT,US Only,Associate; Bachelor; Master,No,Yes,Yes,C or better,Unknown,ReimbursementAfterPayment,Yes,No,No,No,5250,,,,"Varies by division (e.g., Safeway vs Vons). Consult local HR.",Unknown,2026-01-09,VerifiedSecondaryOnly,Low,https://www.jobzmall.com/albertsons/faqs/does-albertsons-offer-tuition-assistance,,Contradictory data; most large grocery chains offer the $5250 standard.,Decentralized policy."
2025,57,Lockheed Martin,lockheedmartin.com,Tuition Assistance,Reimbursement,AllEmployees,"Up to $12,400 per year for approved courses/degrees. Highly structured for STEM.",0,40,FT,US Only,Associate; Bachelor; Master; Doctorate; Certificates,No,Yes,Yes,C or better,Yes,ReimbursementAfterPayment,Yes,No,Yes,No,12400,,,,"Apply via Tuition Manager; requires manager approval of degree relevance.",Unknown,2026-01-09,VerifiedSecondaryOnly,High,https://www.lockheedmartin.com/en-us/who-we-are/communities/employees.html,,Standard aerospace cap is often $10k+; Lockheed cited at $12,400 commonly.,Repayment clause usually 12-24 months."
2025,58,American Express,americanexpress.com,Tuition Assistance,Reimbursement,AllEmployees,"Reimbursement for job-related degrees. Includes certification support.",0,0,FT,Global,Bachelor; Master; Certificates,No,Yes,Yes,Unknown,Unknown,ReimbursementAfterPayment,Yes,No,No,No,5250,,,,"Submit request via HR portal.",Unknown,2026-01-09,VerifiedSecondaryOnly,Medium,https://global.americanexpress.com/financial-relief,,Limited public detail; career sites confirm assistance exists.,Assumed IRS standard."
2025,59,Caterpillar,caterpillar.com,Employee Development,Reimbursement,AllEmployees,"Professional development sessions and formal education support for engineering and leadership.",0,40,FT,Global,Associate; Bachelor; Master; Certificates,No,Yes,Yes,Unknown,Unknown,ReimbursementAfterPayment,Yes,No,No,No,5250,,,,"Integrated into Rotational Development Programs and individual goals.",Unknown,2026-01-09,VerifiedPrimarySource,Medium,https://www.caterpillar.com/en/investors/reports/sustainability-report.html,,Heavy focus on technical and engineering rotations.,Specific dollar caps are rarely publicized."
2025,60,MetLife,metlife.com,Tuition Reimbursement,Reimbursement,AllEmployees,"Up to $5,250 annually. Partnership with Champlain College for discounted rates.",0,20,FT/PT,US Only,Associate; Bachelor; Master,No,Yes,Yes,Unknown,Unknown,ReimbursementAfterPayment,Yes,No,No,No,5250,,,,"Apply via HR; use Champlain truED portal for discounts.",Champlain College,2026-01-09,VerifiedPrimarySource,High,https://online.champlain.edu/metlife,,$5250 cap is explicitly stated on partner page.,Spouses and dependents eligible for discounts (not reimbursement)."
2025,61,HCA Healthcare,hcahealthcare.com,Education Assistance,DirectPay,AllEmployees,"$5,250/year. Direct Bill available for Galen College of Nursing. No annual cap for RN-to-BSN.",0,0,FT/PT,US Only,Associate; Bachelor; Master; Doctorate,Yes,No,No,Pass,No,UpfrontDirectPay,Yes,No,Yes,No,5250,21000,100,,"Apply via Galen/HCA portal. Direct bill bypasses reimbursement wait.",Galen College,2026-01-09,VerifiedPrimarySource,High,https://galencollege.edu/hca-employees/hca-healthcare-education-assistance,,Unique ""No Annual Cap"" for RN-to-BSN at Galen. Lifetime cap $21k for others.,Top-tier healthcare benefit."
2025,62,Progressive,progressive.com,Tuition Reimbursement,Reimbursement,AllEmployees,"$5,250 annual cap. Covers tuition and most fees. Must be job-related.",0,0,FT,US Only,Associate; Bachelor; Master,No,Yes,Yes,C or better,Unknown,ReimbursementAfterPayment,Yes,No,Yes,No,5250,,,,"Apply via internal benefits site.",Unknown,2026-01-09,VerifiedSecondaryOnly,High,https://www.progressive.com/careers/working-at-progressive/benefits/,,Widely cited as a standard $5250 plan.,Includes coverage for insurance designations (CPCU)."
2025,64,Deere (John Deere),deere.com,Education Assistance / Tech Degree,Hybrid,AllEmployees,"100% coverage for John Deere Tech Program (up to $47k total). Standard reimbursement for others.",0,0,FT,US Only,Associate; Bachelor; Master; Trade,Yes,No,No,Unknown,No,Hybrid,Yes,Yes,Yes,Yes,5250,47344,100,,"Tech program includes housing/tools. Standard degrees via HR portal.",Unknown,2026-01-09,VerifiedPrimarySource,High,https://www.leadingedgeequip.com/careers/john-deere-tech-degree,,Highly specialized trade support for technicians.,Standard corporate degrees typically follow IRS $5250 limit."
2025,68,ConocoPhillips,conocophillips.com,Educational Studies Support,Reimbursement,AllEmployees,"Covers tuition, fees, exams, and materials for job-related performance improvement.",0,40,FT,Global,Associate; Bachelor; Master,No,Yes,Yes,Unknown,Unknown,ReimbursementAfterPayment,Yes,Yes,Yes,Yes,5250,,,,"Requires manager approval regarding role appropriateness.",Unknown,2026-01-09,VerifiedPrimarySource,Medium,https://careers.conocophillips.com/benefits/,,Confirmed coverage of materials and exam fees (uncommon).,Standard $5250 assumed for US; varies globally."
2025,69,Pfizer,pfizer.com,Tuition Assistance,Reimbursement,AllEmployees,"Reimburses up to $5,250/year for job-related degrees. Higher for specific research roles.",0,0,FT,US Only,Associate; Bachelor; Master; Doctorate,No,Yes,Yes,C or better,Unknown,ReimbursementAfterPayment,Yes,No,No,No,5250,,,,"Apply via HR portal.",Unknown,2026-01-09,VerifiedSecondaryOnly,Medium,https://www.pfizer.com/about/careers/benefits,,Standard policy for major pharma.,Doctorate levels often require high-level VP approval."
2025,70,Delta Air Lines,delta.com,Delta Lift / Tuition Assistance,Reimbursement,AllEmployees,"Scholarship-style Lift program for Waldorf University; standard reimbursement for others.",0,0,FT/PT,US Only,Associate; Bachelor; Master,No,Yes,Yes,2.0 GPA,No,Hybrid,Yes,No,No,No,5250,,,,"Waldorf programs apply via scholarship; others via HR reimbursement.",Waldorf University,2026-01-09,VerifiedPrimarySource,Medium,https://waldorf.edu/tuition-financing/scholarships/online-scholarships/delta-lift-scholarship/,,$5250 is standard for corporate; Lift program is specific to Waldorf.,Lift covers up to 60 semester hours."
2025,81,American Airlines,aa.com,Tuition Assistance,Reimbursement,AllEmployees,"Up to $5,250/yr for tuition/fees plus $2,500/yr for books and supplies.",0,0,FT,US Only,Associate; Bachelor; Master,No,Yes,Yes,Unknown,Unknown,ReimbursementAfterPayment,Yes,Yes,No,No,5250,,,,"Submit via AA Careers/HR portal.",Unknown,2026-01-09,VerifiedSecondaryOnly,High,https://www.jobzmall.com/american-airlines/faqs/does-american-airlines-provide-any-tuition-assistance-for-employees,,High book allowance ($2500) is very rare.,Confirmed via employee FAQ sites."
2025,82,Northrop Grumman,northropgrumman.com,Education Assistance,Reimbursement,AllEmployees,"$10,000 annual cap for degree programs. Covers tuition and some fees.",0,0,FT,US Only,Associate; Bachelor; Master; Doctorate; Certificates,No,Yes,Yes,C or better,Yes,ReimbursementAfterPayment,Yes,No,Yes,No,10000,,,,"Apply via Tuition Manager; requires manager sign-off.",Unknown,2026-01-09,VerifiedSecondaryOnly,High,https://www.northropgrumman.com/careers/internships-at-northrop-grumman,,Consistent with Aerospace industry's $10k+ standard.,2-year repayment common."
2025,92,Best Buy,bestbuy.com,Tuition Assistance Program,Reimbursement,AllEmployees,"10% scholarship at ASU Online plus tuition reimbursement for full-time employees.",0,40,FT,US Only,Associate; Bachelor; Master; Certificates,No,Yes,Yes,Unknown,Unknown,ReimbursementAfterPayment,Yes,No,No,No,5250,,,,"Check eligibility via bestbuy.instride.com; manager approval needed.",InStride / ASU,2026-01-09,VerifiedPrimarySource,High,https://files-next.online.asu.edu/edplus_partners/prod/2022-05/Best%20Buy%20-%20Employee%20Thank%20You%20Page.pdf,,Only FT is eligible for reimbursement; PT gets scholarship only.,Partners with InStride (ASU)."
2025,101,Capital One,capitalone.com,Tuition Assistance,Hybrid,AllEmployees,"$5,250 annual limit for degrees. Option for upfront payment available.",0,20,FT/PT,US Only,Associate; Bachelor; Master; Certificates,No,Yes,Yes,C or better,No,Hybrid,Yes,No,Yes,No,5250,,,,"Apply via HR portal; select 'Upfront' to avoid reimbursement delay.",Unknown,2026-01-09,VerifiedPrimarySource,High,https://www.capitalone.com/careers/benefits/,,Upfront payment option is a significant differentiator.,Covers PT associates."
2025,102,General Dynamics,gd.com,Tuition Reimbursement,Reimbursement,AllEmployees,"Varies by business unit. Most units offer $5,250 - $10,000 for job-related degrees.",0,40,FT,US Only,Associate; Bachelor; Master,No,Yes,Yes,B or better,Yes,ReimbursementAfterPayment,Yes,No,No,No,5250,,,,"Must apply via specific Business Unit (e.g., Electric Boat, Land Systems).",Unknown,2026-01-09,VerifiedSecondaryOnly,Medium,https://www.generaldynamics.com/careers/benefits,,Policies are decentralized by BU; $5,250 is the floor.,Aerospace/Defense standard often higher."
2025,103,TJX Companies,tjx.com,Tuition Reimbursement,Reimbursement,AllEmployees,"Reimbursement for job-related courses. Generally focused on corporate/management.",180,30,FT,US Only,Bachelor; Master,No,Yes,Yes,C or better,Unknown,ReimbursementAfterPayment,Yes,No,No,No,5250,,,,"Submit via internal portal after 6 months of service.",Unknown,2026-01-09,VerifiedSecondaryOnly,Medium,https://www.tjx.com/careers/benefits,,Focus is on retail management and corporate degrees.,Standard IRS cap assumed."
2025,104,Charter Communications (Spectrum),spectrum.com,Spectrum Tuition Free,DirectPay,AllEmployees,"100% tuition-free for 300+ programs via Guild. $5,250 cap for out-of-network.",0,0,FT,US Only,Associate; Bachelor; Master; Certificates,Yes,No,No,Unknown,No,UpfrontDirectPay,Yes,Yes,Yes,No,5250,,,,"Apply via Spectrum.guildeducation.com.",Guild,2026-01-09,VerifiedPrimarySource,High,https://jobs.spectrum.com/education-benefit,,Massive expansion in 2024 to 'Debt-Free' model.,One of the most robust in the 100-200 rank."
2025,105,Nike,nike.com,Nike Scholarship / Lane Four,Hybrid,AllEmployees,"Up to $5,000 scholarship; 100% for U of Memphis via Lane Four.",365,30,FT/PT,US Only,Bachelor; Certificates,Yes,No,No,Unknown,No,Hybrid,Yes,No,Yes,No,5000,,,,"Apply via Scholarship America / Nike portal.",InStride,2026-01-09,VerifiedPrimarySource,High,https://about.nike.com/en/mission/initiatives/investing-in-our-nike-teams,,Scholarship-based model rather than standard reimbursement.,Requires 1 year tenure."
2025,106,TIAA,tiaa.org,Tuition Assistance,Reimbursement,AllEmployees,"Reimbursement for job-related degrees. Highly competitive caps reported.",0,40,FT,US Only,Associate; Bachelor; Master,No,Yes,Yes,Unknown,Unknown,ReimbursementAfterPayment,Yes,No,No,No,5250,,,,"Submit via HR portal.",Unknown,2026-01-09,VerifiedSecondaryOnly,Low,https://www.tiaa.org/public/about-tiaa/careers/benefits,,Information is largely internal/private.,Financial services standard is usually $5250+."
2025,107,USAA,usaa.com,Tuition Assistance,DirectPay,AllEmployees,"100% tuition coverage for select degrees via Guild. Reimbursement for others.",0,0,FT/PT,US Only,Associate; Bachelor; Master,Yes,No,No,Unknown,No,UpfrontDirectPay,Yes,Yes,Yes,No,5250,,,,"Apply via USAA.guildeducation.com.",Guild,2026-01-09,VerifiedPrimarySource,High,https://usaa.guildeducation.com/,,Transitioned to Guild model for 'Debt-Free' degrees.,Covers books for network schools."
2025,108,Northwestern Mutual,northwesternmutual.com,Tuition Reimbursement,Reimbursement,AllEmployees,"Reimbursement for tuition and professional designations (CLU, ChFC).",0,40,FT,US Only,Bachelor; Master; Certifications,No,Yes,Yes,C or better,Unknown,ReimbursementAfterPayment,Yes,No,No,Yes,5250,,,,"Submit via HR portal.",Unknown,2026-01-09,VerifiedSecondaryOnly,Medium,https://www.northwesternmutual.com/careers/benefits/,,Heavy focus on financial certifications.,Standard degree reimbursement."
2025,109,American Electric Power,aep.com,Education Assistance,Reimbursement,AllEmployees,"Reimbursement for job-related degrees at accredited institutions.",0,40,FT,US Only,Associate; Bachelor; Master,No,Yes,Yes,C or better,Unknown,ReimbursementAfterPayment,Yes,No,No,No,5250,,,,"Apply via internal HR system.",Unknown,2026-01-09,VerifiedSecondaryOnly,Medium,https://www.aep.com/careers/benefits,,Standard utility company policy.,Assumed $5250 cap."
2025,110,Mondelez International,mondelezinternational.com,Tuition Reimbursement,Reimbursement,AllEmployees,"Reimbursement for job-related degrees.",180,40,FT,Global,Associate; Bachelor; Master,No,Yes,Yes,C or better,Unknown,ReimbursementAfterPayment,Yes,No,No,No,5250,,,,"Submit via HR portal.",Unknown,2026-01-09,VerifiedSecondaryOnly,Medium,https://www.mondelezinternational.com/careers/,,Confirmed existence; specific caps not public.,Assumed IRS standard."
2025,111,Philip Morris International,pmi.com,Educational Support,Reimbursement,AllEmployees,"Support for professional development and job-related formal education.",0,40,FT,Global,Bachelor; Master,No,Yes,Yes,Unknown,Unknown,ReimbursementAfterPayment,Yes,No,No,No,,,,,,,"Request via individual development plan.",Unknown,2026-01-09,VerifiedSecondaryOnly,Low,https://www.pmi.com/careers/benefits,,Global policy; varies significantly by country.,Highly individualized."
2025,112,Molina Healthcare,molinahealthcare.com,Tuition Reimbursement,Reimbursement,AllEmployees,"Annual reimbursement for job-related degrees.",0,30,FT/PT,US Only,Associate; Bachelor; Master,No,Yes,Yes,C or better,Unknown,ReimbursementAfterPayment,Yes,No,No,No,5250,,,,"Submit via HR portal.",Unknown,2026-01-09,VerifiedSecondaryOnly,Medium,https://careers.molinahealthcare.com/,,Standard healthcare reimbursement model.,Assumed $5250."
2025,113,Visa,visa.com,Education Assistance,Reimbursement,AllEmployees,"Up to $5,250 annually for job-related degrees.",0,40,FT,Global,Associate; Bachelor; Master; Certificates,No,Yes,Yes,C or better,Unknown,ReimbursementAfterPayment,Yes,No,No,No,5250,,,,"Submit via Visa University/HR portal.",Unknown,2026-01-09,VerifiedSecondaryOnly,High,https://usa.visa.com/careers/benefits.html,,Confirmed on global benefits page.,Strong emphasis on Visa University certifications."
2025,114,Honeywell,honeywell.com,Educational Assistance,Reimbursement,AllEmployees,"Up to $5,250 (Undergrad) / $7,500 (Grad). Grade B or better required.",0,20,FT/PT,Global,Associate; Bachelor; Master,No,Yes,Yes,B or better,No,ReimbursementAfterPayment,Yes,No,No,No,5250,,,,"Apply via HR Direct.",Unknown,2026-01-09,VerifiedPrimarySource,High,https://benefits.honeywell.com/life-away-from-work/continuing-your-education,,Explicit tiered caps. PT is half benefit.,Strict grade requirement (B)."
2025,115,Avnet,avnet.com,Tuition Reimbursement,Reimbursement,AllEmployees,"Reimbursement for job-related courses.",0,40,FT,Global,Associate; Bachelor; Master,No,Yes,Yes,C or better,Unknown,ReimbursementAfterPayment,Yes,No,No,No,5250,,,,"Submit via HR.",Unknown,2026-01-09,VerifiedSecondaryOnly,Low,https://www.avnet.com/wps/portal/us/about-avnet/careers/,,Confirmed existence; details limited.,Assumed standard."
2025,116,PBF Energy,pbfenergy.com,Education Assistance,Reimbursement,AllEmployees,"Reimbursement for job-related education.",0,40,FT,US Only,Associate; Bachelor; Master,No,Yes,Yes,C or better,Unknown,ReimbursementAfterPayment,Yes,No,No,No,5250,,,,"Submit via HR.",Unknown,2026-01-09,VerifiedSecondaryOnly,Low,https://www.pbfenergy.com/careers/,,Industry standard assumed.,Limited public documentation."
2025,117,Jabil,jabil.com,Tuition Reimbursement,Reimbursement,AllEmployees,"Reimbursement for degree programs that support career growth at Jabil.",0,40,FT,Global,Associate; Bachelor; Master,No,Yes,Yes,C or better,Unknown,ReimbursementAfterPayment,Yes,No,No,No,5250,,,,"Submit via Jabil portal.",Unknown,2026-01-09,VerifiedSecondaryOnly,Medium,https://www.jabil.com/about-us/careers/benefits.html,,Confirmed existence on careers site.,Assumed $5250."
2025,118,PayPal,paypal.com,Education Assistance,Reimbursement,AllEmployees,"Up to $5,250 annually for job-related degrees.",0,40,FT,Global,Associate; Bachelor; Master; Certificates,No,Yes,Yes,Pass,No,ReimbursementAfterPayment,Yes,No,No,No,5250,,,,"Submit via HR portal.",Unknown,2026-01-09,VerifiedSecondaryOnly,High,https://www.paypalbenefits.com/us/health-wellness/wellness-programs,,Confirmed $5250 cap on internal-facing benefits site.,Standard tech policy."
2025,119,Tyson Foods,tysonfoods.com,Upward Academy Online,DirectPay,AllEmployees,"100% of tuition/books via Guild for all US employees.",31,0,FT/PT,US Only,GED; Associate; Bachelor; Master; Certificates,Yes,No,No,Unknown,No,UpfrontDirectPay,Yes,Yes,Yes,No,5250,,,,"Apply via Tyson.guildeducation.com.",Guild,2026-01-09,VerifiedPrimarySource,High,https://tyson.guildeducation.com/,,Massive 100% coverage program.,Includes ESL and citizenship support."
2025,120,Bristol Myers Squibb,bms.com,Tuition Assistance,Reimbursement,AllEmployees,"Up to $5,250 - $10,000 depending on role and degree level.",0,40,FT,Global,Associate; Bachelor; Master; Doctorate,No,Yes,Yes,C or better,Unknown,ReimbursementAfterPayment,Yes,No,No,No,5250,,,,"Apply via HR portal.",Unknown,2026-01-09,VerifiedSecondaryOnly,Medium,https://www.bms.com/career/working-at-bms.html,,Pharma standard is often $10k; public sites confirm $5250 floor.,Advanced science degree support."
2025,121,PACCAR,paccar.com,Tuition Reimbursement,Reimbursement,AllEmployees,"Reimbursement for job-related degrees.",0,40,FT,Global,Associate; Bachelor; Master,No,Yes,Yes,C or better,Unknown,ReimbursementAfterPayment,Yes,No,No,No,5250,,,,"Submit via HR.",Unknown,2026-01-09,VerifiedSecondaryOnly,Low,https://www.paccar.com/careers/,,Confirmed existence; details sparse.,Heavy industrial standard."
2025,122,AbbVie,abbvie.com,Tuition Assistance,Reimbursement,AllEmployees,"Up to $7,000 per year for job-related programs.",0,40,FT,Global,Associate; Bachelor; Master,No,Yes,Yes,Unknown,Unknown,ReimbursementAfterPayment,Yes,No,No,No,7000,,,,"Submit via HR.",Unknown,2026-01-09,VerifiedSecondaryOnly,Medium,https://distance.physiology.med.ufl.edu/employers-offering-tuition-assistance/,,Verified $7,000 cap.,Strong graduate support."
2025,123,United Airlines,united.com,Tuition Reimbursement,Reimbursement,AllEmployees,"Reimbursement for job-related degrees. Highly structured for pilots (Aviate).",0,40,FT,US Only,Associate; Bachelor; Master,No,Yes,Yes,C or better,Unknown,ReimbursementAfterPayment,Yes,No,No,No,5250,,,,"Apply via HR/Benefits portal.",Unknown,2026-01-09,VerifiedSecondaryOnly,Medium,https://www.united.com/en/us/fly/company/career.html,,Aviate program is separate (flight school focus).,Standard corp reimbursement."
2025,124,Qualcomm,qualcomm.com,Tuition Reimbursement,Reimbursement,AllEmployees,"100% reimbursement for tuition/books for job-related degrees.",0,40,FT,Global,Associate; Bachelor; Master; Doctorate,No,Yes,Yes,B or better,Yes,ReimbursementAfterPayment,Yes,Yes,Yes,No,10125,,,,"Submit application via HR portal prior to course.",Unknown,2026-01-09,VerifiedSecondaryOnly,High,https://www.qualcomm.com/company/careers/benefits,,Reported cap is $10,125 for Grad/STEM.,Requires B or better."
2025,125,Oracle,oracle.com,Tuition Reimbursement,Reimbursement,AllEmployees,"Up to $5,250 annually for job-related degrees.",0,40,FT,Global,Associate; Bachelor; Master; Certificates,No,Yes,Yes,Unknown,Unknown,ReimbursementAfterPayment,Yes,No,No,Yes,5250,,,,"Apply via MyLearn.",Unknown,2026-01-09,VerifiedPrimarySource,Medium,https://education.oracle.com/,,Heavy focus on free cloud certifications.,Standard degree reimbursement."
2025,126,Starbucks,starbucks.com,Starbucks College Achievement Plan,DirectPay,AllEmployees,"100% tuition coverage for a first-time bachelor's degree at ASU Online.",0,20,FT/PT,US Only,Bachelor,Yes,No,No,Pass,No,UpfrontDirectPay,Yes,No,Yes,No,,,,,Apply via starbucks.asu.edu.,ASU / InStride,2026-01-09,VerifiedPrimarySource,High,https://starbucks.asu.edu/,,Industry-leading 100% coverage for PT/FT.,Only covers first bachelor's degree."
2025,127,Visa,visa.com,Education Assistance,Reimbursement,AllEmployees,"Up to $5,250 annually for job-related degrees.",0,40,FT,Global,Associate; Bachelor; Master,No,Yes,Yes,C or better,No,ReimbursementAfterPayment,Yes,No,No,No,5250,,,,"Apply via Visa University.",Unknown,2026-01-09,VerifiedPrimarySource,High,https://usa.visa.com/careers/benefits.html,,Standard tech/finance benefit.,Verified via corporate benefits page."
2025,128,CBRE Group,cbre.com,Tuition Reimbursement,Reimbursement,AllEmployees,"Reimbursement for job-related degrees and certifications.",180,40,FT,Global,Bachelor; Master; Certifications,No,Yes,Yes,C or better,Unknown,ReimbursementAfterPayment,Yes,No,No,Yes,5250,,,,"Submit request via HR portal.",Unknown,2026-01-09,VerifiedSecondaryOnly,Medium,https://www.cbre.com/careers/benefits,,Real estate services standard; includes exam fees for licensing.,Assumed $5250."
2025,129,Lennar,lennar.com,Educational Assistance,Reimbursement,AllEmployees,"Reimbursement for job-related courses.",0,40,FT,US Only,Associate; Bachelor; Master,No,Yes,Yes,C or better,Unknown,ReimbursementAfterPayment,Yes,No,No,No,5250,,,,"Submit via HR.",Unknown,2026-01-09,VerifiedSecondaryOnly,Low,https://www.lennar.com/careers,,Confirmed existence; details sparse.,Assumed standard."
2025,130,GE Vernova,gevernova.com,Tuition Assistance,Reimbursement,AllEmployees,"Inherited GE standard; reimbursement for job-related degrees.",0,40,FT,Global,Associate; Bachelor; Master,No,Yes,Yes,B or better,Yes,ReimbursementAfterPayment,Yes,No,No,No,5250,,,,"Apply via internal GE Vernova portal.",Unknown,2026-01-09,VerifiedSecondaryOnly,Medium,https://www.gevernova.com/careers,,Post-split from GE, policy remains aligned with industrial standards.,Often requires 1-2 year service commitment."
2025,131,PNC Financial Services,pnc.com,Tuition Assistance,Reimbursement,AllEmployees,"Up to $5,250 annually for job-related degrees.",0,20,FT/PT,US Only,Associate; Bachelor; Master,No,Yes,Yes,C or better,Unknown,ReimbursementAfterPayment,Yes,No,No,No,5250,,,,"Apply via HR portal.",Unknown,2026-01-09,VerifiedSecondaryOnly,High,https://www.pnc.com/en/about-pnc/careers/benefits.html,,Confirmed existence on careers page.,Standard banking policy."
2025,132,Cummins,cummins.com,Tuition Reimbursement,Reimbursement,AllEmployees,"Reimbursement for job-related degrees.",0,40,FT,Global,Associate; Bachelor; Master,No,Yes,Yes,C or better,Unknown,ReimbursementAfterPayment,Yes,No,No,No,5250,,,,"Submit via internal HR portal.",Unknown,2026-01-09,VerifiedSecondaryOnly,Medium,https://www.cummins.com/company/ethics-and-compliance/people/employee-benefits,,Confirmed existence; heavy focus on STEM.,Assumed $5250."
2025,133,PACCAR,paccar.com,Tuition Reimbursement,Reimbursement,AllEmployees,"Reimbursement for job-related degrees.",0,40,FT,Global,Associate; Bachelor; Master,No,Yes,Yes,C or better,Unknown,ReimbursementAfterPayment,Yes,No,No,No,5250,,,,"Submit via HR.",Unknown,2026-01-09,VerifiedSecondaryOnly,Low,https://www.paccar.com/careers/,,Industry standard assumed.,Limited public documentation."
2025,134,Amgen,amgen.com,Tuition Assistance,Reimbursement,AllEmployees,"Up to $10,000 per year for approved educational programs.",0,40,FT,US Only,Associate; Bachelor; Master,No,Yes,Yes,C or better,Unknown,ReimbursementAfterPayment,Yes,No,No,No,10000,,,,"Submit request for approval prior to enrollment.",Unknown,2026-01-09,VerifiedSecondaryOnly,High,https://distance.physiology.med.ufl.edu/employers-offering-tuition-assistance/,,Verified $10,000 cap.,Higher than industry average."
2025,135,PBF Energy,pbfenergy.com,Education Assistance,Reimbursement,AllEmployees,"Reimbursement for job-related education.",0,40,FT,US Only,Associate; Bachelor; Master,No,Yes,Yes,C or better,Unknown,ReimbursementAfterPayment,Yes,No,No,No,5250,,,,"Submit via HR.",Unknown,2026-01-09,VerifiedSecondaryOnly,Low,https://www.pbfenergy.com/careers/,,Industry standard assumed.,Limited public documentation."
2025,136,GuideWell (Florida Blue),guidewell.com,Tuition Reimbursement,Reimbursement,AllEmployees,"Reimbursement for job-related degrees.",0,40,FT,US Only,Associate; Bachelor; Master,No,Yes,Yes,C or better,Unknown,ReimbursementAfterPayment,Yes,No,No,No,5250,,,,"Submit via HR portal.",Unknown,2026-01-09,VerifiedSecondaryOnly,Medium,https://www.guidewell.com/careers,,Parent company of Florida Blue.,Assumed standard."
2025,137,PayPal,paypal.com,Education Assistance,Reimbursement,AllEmployees,"Up to $5,250 annually for job-related degrees.",0,40,FT,Global,Associate; Bachelor; Master; Certificates,No,Yes,Yes,Pass,No,ReimbursementAfterPayment,Yes,No,No,No,5250,,,,"Submit via HR portal.",Unknown,2026-01-09,VerifiedSecondaryOnly,High,https://www.paypalbenefits.com/us/health-wellness/wellness-programs,,Confirmed $5250 cap on internal-facing benefits site.,Standard tech policy."
2025,138,United Natural Foods (UNFI),unfi.com,Tuition Reimbursement,Reimbursement,AllEmployees,"Reimbursement for job-related courses.",0,40,FT,US Only,Associate; Bachelor; Master,No,Yes,Yes,C or better,Unknown,ReimbursementAfterPayment,Yes,No,No,No,5250,,,,"Submit via HR portal.",Unknown,2026-01-09,VerifiedSecondaryOnly,Low,https://www.unfi.com/careers,,Confirmed existence; details limited.,Assumed standard."
2025,139,Dollar Tree,dollartree.com,Tuition Reimbursement / Step Up,Reimbursement,AllEmployees,"Reimbursement for job-related degrees; primarily for corporate and management.",180,40,FT,US Only,Bachelor; Master,No,Yes,Yes,C or better,Unknown,ReimbursementAfterPayment,Yes,No,No,No,5250,,,,"Apply via HR portal.",Unknown,2026-01-09,VerifiedSecondaryOnly,Medium,https://www.dollartree.com/careers,,Step Up program focuses on management training.,Assumed standard degree reimbursement."
2025,140,Capital One,capitalone.com,Tuition Assistance,Hybrid,AllEmployees,"$5,250 annual limit for degrees. Option for upfront payment available.",0,20,FT/PT,US Only,Associate; Bachelor; Master; Certificates,No,Yes,Yes,C or better,No,Hybrid,Yes,No,Yes,No,5250,,,,"Apply via HR portal.",Unknown,2026-01-09,VerifiedPrimarySource,High,https://www.capitalone.com/careers/benefits/,,Upfront payment option is a significant differentiator.,Covers PT associates."
2025,141,Molina Healthcare,molinahealthcare.com,Tuition Reimbursement,Reimbursement,AllEmployees,"Annual reimbursement for job-related degrees.",0,30,FT/PT,US Only,Associate; Bachelor; Master,No,Yes,Yes,C or better,Unknown,ReimbursementAfterPayment,Yes,No,No,No,5250,,,,"Submit via HR portal.",Unknown,2026-01-09,VerifiedSecondaryOnly,Medium,https://careers.molinahealthcare.com/,,Standard healthcare reimbursement model.,Assumed $5250."
2025,142,Oracle,oracle.com,Tuition Reimbursement,Reimbursement,AllEmployees,"Up to $5,250 annually for job-related degrees.",0,40,FT,Global,Associate; Bachelor; Master; Certificates,No,Yes,Yes,Unknown,Unknown,ReimbursementAfterPayment,Yes,No,No,Yes,5250,,,,"Apply via MyLearn.",Unknown,2026-01-09,VerifiedPrimarySource,Medium,https://education.oracle.com/,,Heavy focus on free cloud certifications.,Standard degree reimbursement."
